,quarterly_revenue_bn,eps,net_interest_income_millions,dividend_per_share,assets_under_supervision_bn,total_headcount,write_offs_millions,credit_loss_provisions_millions,operating_expenses_bn
Q1,15.06,14.12,2895.0,3.0,3173.0,46600.0,0.0,287.0,9.13
Q2,14.583,10.91,3104.0,4.0,3293.0,45900.0,0.0,384.0,9.241
Q3,15.18,12.25,3852.0,4.0,3452.0,48300.0,0.0,339.0,9.453
Q4,13.454,14.01,3708.0,4.5,3606.0,47400.0,0.0,-2123.0,9.722
